0,Supplier Address,Seller Address,Seller Addr.,Supplier Addr.,Seller's Address,Supplier's Address,supplier address,supplier add.,Adresse Fournisseur,Adresse Vendeur,Adresse du Vendeur,,
1,Seller GST No.,Seller GSTIN,Seller GSTN No.,Seller GST Number,Supplier GST No.,Supplier GSTIN,Supplier GSTN No.,Supplier GST Number,vendor gstin,vendor gstin/unique,Numéro GST du Vendeur,GSTIN Vendeur,N° GST Vendeur
2,Country of Origin,Source of origin,Shipping from,Shipping Place,Sent from,Ship from,Pays d'Origine,Origine du Produit,Provenance,,,,
3,Currency,INR,Devise,Monnaie,,,,,,,,,
4,Description,Desc.,Additional Info,Invoice Info.,Détails,Informations Facture,,,,,,,
5,Total Invoice amount entered by WH operator,Total Amount,Total Amt.,Total Price,Tota,grand total,invoice amt,invoice amount,Montant Total Facture,Total Facture,Somme Totale,,
6,Total Invoice Quantity entered by WH operator,qty,quantity,total quantity,No of items,total items,Quantité Totale,Nombre d'Articles,Total des Quantités,,,,
7,Total TCS Collected,tax,tcs,tcs collected,TCS Total,Taxe Collectée,Total TCS,,,,,,
8,Round Off Charges,round off,round off amount,rounded amount,Arrondi,Frais d'Arrondi,,,,,,,
9,PO Number,po number,purchase number,po,purchase order number,order no,order number,order no.,customer po no,curomer po number,Numéro PO,N° Commande,Référence Commande
10,Invoice Items Total Amount,Total Amount,Total Amt.,Total Price,Tota,Montant Total Articles,Total des Articles,,,,,,
11,Invoice Items total quantity,qty,quantity,total quantity,No of items,Quantité Totale Articles,Total Quantités,,,,,,
12,Buyer GSTIN Number,buyer gstin,gstin,gstn no.,gstn no,GSTIN Acheteur,Numéro GST Acheteur,,,,,,
13,Ship to Address,ship to address,shipping address,delivery address,state,ship-to,Adresse Livraison,Lieu de Livraison,,,,,
14,S.No,S no,serial,serial no,serial number,serial no.,Sl,Sl. No,Sl no,Numéro,N°,Numéro de Série,
15,Product ID,product id,item id,title,description,description of goods,item description,ID Article,Référence Produit,,,,
16,HSN,hsn,hsn/sac,sac,Code HSN,HSN/SAC,,,,,,,
17,Title,Titre,Libellé,,,,,,,,,,
18,Quantity,qty,quantity,number of items,qty.,Qté,Nombre,,,,,,
19,Unit Price,price,item price,basic selling price,selling price,selling price(INR),Prix Unitaire,Prix de Vente,,,,,
20,Excise Duty,Taxe d'Accise,,,,,,,,,,,
21,Discount Percent,disc,discount%,discount %,off %,disc %,discount,discount percent,discou,Remise %,Pourcentage Remise,,
22,SGST Percent,SGST%,SGST,SGST rate,SGST %,Taux SGST,,,,,,,
23,CGST Percent,CGST,CGST%,SGST rate,CGST %,Taux CGST,,,,,,,
24,IGST Percent,IGST rate,IGST %,Taux IGST,IGST rate,,,,,,,,
25,Cess Percent,cess charge,cess,cess%,cess percent,cess %,cess rate,Cess %,Taux Cess,,,,
26,TCS Percent,tcs charge,tcs,tcs%,tcs percent,tcs %,tcs rate,TCS %,Taux TCS,,,,
27,Total Amount,Total Amt.,Total Price,Tota,grand total,total amt,invoice amount,invoice amt,payable amt,net payable,net amount,Montant Total,Total à Payer
28,APP %,APP,APP%,Pourcentage APP,,,,,,,,,
