Node Number,Text,Key Detected
1,v5 Référence,No
1,we,No
1,"Jd, Facture FAC2425/001",No
1,~ N° FAC2425/001 pete,No
1,JUNIOR ENTREPRISE,No
1,INSAT 11/10/2024,No
1,Emis par : Association INSAT Junior,No
1,"Adresse : RDC chez I'INSAT, Centre URB NORD, 1082, Tunis.",Yes
1,Matricule fiscale :1730424/R/P/N/O0O,No
1,Destinataire: ORANGE TUNISIE,No
1,Matricule Fiscale : O868O024DAMO000,No
1,Adresse: Immeuble Orange centre Urbain Nord CITE,No
1,OLYMPEADE 1003 Tunis,No
1,Désignation Quantité PUHT MontantHT TVA% TVA Total TTC,Yes
1,"Participation a I'6vénement “Forum INSAT 1 8000,00 8000,00 1996  1520,00 9520,00",No
1,"Entreprise"" 20 Novembre 2024 - Pack Partenaire",No
1,"Total HT 8000,00",Yes
1,"TVA 1520,00",No
1,"Timbre Fiscale 1,00",No
1,"Arrété a la somme de : Neuf mille cing cent vingt et un dinars. Total TTC 921,00",Yes
1,Signature,No
1,Informations additlonnelles:,Yes
1,"“Conformément aux articles 45 et 46 du code de FRPP et |S qui précisent I'étendue et le champ d’application et les exonérations en matiére d'lS,",Yes
1,association insat Junior est exonérée de la Retenue a la source.”,No
1,Bon de commande N° : 25/01455,No
1,Association INSAT Junior Khemiri Sahar - Trésorlére,No
1,institut National Des Sclences Appliquées et de Technologie (INSAT) Tel : +216 29 264 500,No
1,676 Centre Urbain Nord BP. Tunis Cedex 1080 Email : Junior.entreprise.insat@gmall.com,No
1,Tunisie,No
1,Détails Bancaires,Yes
1,Numéro JORT : 2021401770APSF1 Banque : UIB-Agence CUN,No
1,Matricule Fiscale : 1730424/R/P/N/O000 N° Compte : 12 057 00 00093006850 03,No
